id_motorista,nome_completo,cpf,registro_cnh,categoria,data_emissao,data_vencimento,snapshot_date
44,Fernanda Silva,773.378.103-50,410602857,AB,2012-08-07,2022-08-05,2026-04-20 20:49:12.754367
45,Joao Rodrigues,651.811.704-94,388914671,B,2016-10-03,2026-10-01,2026-04-20 20:49:12.754367
46,Beatriz Pereira,970.469.745-14,165948432,D,2020-04-16,2030-04-14,2026-04-20 20:49:12.754367
47,Jose Santos,138.909.795-32,400660701,AB,2023-04-22,2033-04-19,2026-04-20 20:49:12.754367
48,Beatriz Lima,840.850.137-27,689055174,E,2020-02-11,2030-02-08,2026-04-20 20:49:12.754367
49,Adriana Santos,421.774.444-52,880089623,D,2014-06-30,2024-06-27,2026-04-20 20:49:12.754367
50,Jose Santos,503.721.636-75,566594246,A,2017-04-21,2027-04-19,2026-04-20 20:49:12.754367
51,Ana Pereira,648.999.352-41,275943970,C,2021-07-09,2031-07-07,2026-04-20 20:49:12.754367
52,Adriana Gomes,370.816.838-70,268464999,AE,2012-08-26,2022-08-24,2026-04-20 20:49:12.754367
53,Carlos Ferreira,272.900.797-51,326832011,AB,2023-03-15,2033-03-12,2026-04-20 20:49:12.754367
54,Ana Santos,657.883.443-54,306772095,D,2022-08-18,2032-08-15,2026-04-20 20:49:12.754367
55,Joao Silva,961.579.708-82,935259914,AD,2016-04-28,2026-04-26,2026-04-20 20:49:12.754367
56,Ricardo Gomes,935.696.718-44,110468308,AE,2015-01-09,2025-01-06,2026-04-20 20:49:12.754367
57,Ricardo Ferreira,320.523.592-74,911084904,D,2018-08-14,2028-08-11,2026-04-20 20:49:12.754367
58,Maria Ferreira,817.577.904-69,618517422,D,2011-07-02,2021-06-29,2026-04-20 20:49:12.754367
59,Joao Lima,612.963.423-95,824160664,AC,2016-07-07,2026-07-05,2026-04-20 20:49:12.754367
60,Adriana Pereira,635.605.748-45,899997698,B,2020-10-11,2030-10-09,2026-04-20 20:49:12.754367
61,Jose Ferreira,542.789.186-53,486858802,C,2015-03-21,2025-03-18,2026-04-20 20:49:12.754367
62,Ricardo Ferreira,115.421.660-27,575811739,C,2012-12-25,2022-12-23,2026-04-20 20:49:12.754367
63,Adriana Ferreira,592.708.750-74,980582847,AC,2018-01-23,2028-01-21,2026-04-20 20:49:12.754367
64,Adriana Alves,980.527.912-52,560632858,AE,2020-12-15,2030-12-13,2026-04-20 20:49:12.754367
65,Adriana Souza,304.438.750-87,317011773,B,2010-03-06,2020-03-03,2026-04-20 20:49:12.754367
66,Fernanda Gomes,822.586.261-54,301526412,D,2020-03-25,2030-03-23,2026-04-20 20:49:12.754367
67,Adriana Rodrigues,925.827.844-43,938543382,AE,2011-09-23,2021-09-20,2026-04-20 20:49:12.754367
68,Paulo Rodrigues,682.817.328-61,799862991,E,2018-08-24,2028-08-21,2026-04-20 20:49:12.754367
69,Ana Lima,558.837.458-52,563807591,AD,2023-03-27,2033-03-24,2026-04-20 20:49:12.754367
70,Ana Lima,858.688.372-86,953141134,C,2016-03-22,2026-03-20,2026-04-20 20:49:12.754367
71,Adriana Souza,370.569.636-10,944000970,E,2019-08-22,2029-08-19,2026-04-20 20:49:12.754367
72,Ricardo Ferreira,276.856.838-83,292043345,A,2015-01-10,2025-01-07,2026-04-20 20:49:12.754367
73,Ana Ferreira,463.669.607-21,758862705,AE,2012-10-21,2022-10-19,2026-04-20 20:49:12.754367
74,Fernanda Ferreira,571.244.788-86,883467251,D,2010-05-06,2020-05-03,2026-04-20 20:49:12.754367
75,Beatriz Santos,411.633.923-12,616412508,AC,2022-08-09,2032-08-06,2026-04-20 20:49:12.754367
76,Carlos Alves,800.591.621-70,433744584,D,2016-07-02,2026-06-30,2026-04-20 20:49:12.754367
77,Maria Rodrigues,100.667.726-96,502168776,D,2015-01-18,2025-01-15,2026-04-20 20:49:12.754367
78,Fernanda Souza,271.336.813-15,319958323,AD,2019-01-31,2029-01-28,2026-04-20 20:49:12.754367
79,Fernanda Souza,591.630.685-43,101103580,AC,2022-08-18,2032-08-15,2026-04-20 20:49:12.754367
80,Ricardo Lima,731.581.293-77,503859771,B,2010-01-12,2020-01-10,2026-04-20 20:49:12.754367
81,Ricardo Alves,123.854.692-70,706924500,AC,2018-09-11,2028-09-08,2026-04-20 20:49:12.754367
82,Maria Lima,167.104.804-35,685421482,D,2016-01-06,2026-01-03,2026-04-20 20:49:12.754367
83,Beatriz Lima,273.430.117-44,755987802,D,2020-08-01,2030-07-30,2026-04-20 20:49:12.754367
84,Carlos Oliveira,263.815.319-15,861917595,C,2022-11-15,2032-11-12,2026-04-20 20:49:12.754367
85,Ana Oliveira,149.745.424-18,813626893,AE,2011-03-05,2021-03-02,2026-04-20 20:49:12.754367
86,Fernanda Gomes,395.310.717-61,842399555,AD,2020-09-24,2030-09-22,2026-04-20 20:49:12.754367
87,Carlos Ferreira,973.378.492-65,233317520,AB,2013-11-19,2023-11-17,2026-04-20 20:49:12.754367
88,Ricardo Gomes,125.717.797-73,664252141,AB,2013-11-09,2023-11-07,2026-04-20 20:49:12.754367
89,Carlos Lima,335.778.307-63,131610656,AD,2016-09-27,2026-09-25,2026-04-20 20:49:12.754367
90,Fernanda Ferreira,900.697.902-30,454266496,AB,2020-01-17,2030-01-14,2026-04-20 20:49:12.754367
91,Joao Santos,183.622.884-75,440509870,AC,2018-06-04,2028-06-01,2026-04-20 20:49:12.754367
92,Jose Ferreira,660.610.220-11,399673708,E,2016-11-23,2026-11-21,2026-04-20 20:49:12.754367
93,Ricardo Gomes,474.391.546-25,533513587,D,2021-11-25,2031-11-23,2026-04-20 20:49:12.754367
94,Paulo Alves,225.913.155-13,689198859,A,2020-11-28,2030-11-26,2026-04-20 20:49:12.754367
95,Adriana Ferreira,250.936.548-44,677918354,AE,2010-04-27,2020-04-24,2026-04-20 20:49:12.754367
96,Adriana Ferreira,718.856.593-29,962988267,AC,2023-01-28,2033-01-25,2026-04-20 20:49:12.754367
97,Maria Silva,733.150.276-96,507133256,B,2010-12-04,2020-12-01,2026-04-20 20:49:12.754367
98,Maria Rodrigues,227.277.562-67,993464714,AD,2018-04-26,2028-04-23,2026-04-20 20:49:12.754367
99,Paulo Pereira,242.363.337-16,687526957,B,2016-03-23,2026-03-21,2026-04-20 20:49:12.754367
100,Maria Alves,699.851.952-32,393787262,D,2018-12-06,2028-12-03,2026-04-20 20:49:12.754367
101,Jose Souza,728.366.697-62,283450351,AD,2016-08-10,2026-08-08,2026-04-20 20:49:12.754367
102,Fernanda Souza,846.314.160-33,388020004,AC,2018-01-06,2028-01-04,2026-04-20 20:49:12.754367
103,Paulo Silva,658.892.678-38,929374151,AB,2017-09-20,2027-09-18,2026-04-20 20:49:12.754367
104,Paulo Gomes,566.872.824-14,461553393,C,2015-03-25,2025-03-22,2026-04-20 20:49:12.754367
105,Joao Santos,247.433.198-95,612117315,B,2022-10-08,2032-10-05,2026-04-20 20:49:12.754367
106,Adriana Lima,248.865.317-65,365994020,AB,2021-12-25,2031-12-23,2026-04-20 20:49:12.754367
107,Carlos Oliveira,391.265.383-22,241981575,AC,2011-04-14,2021-04-11,2026-04-20 20:49:12.754367
108,Carlos Gomes,550.153.681-51,382059894,AD,2021-02-18,2031-02-16,2026-04-20 20:49:12.754367
109,Joao Lima,721.510.970-74,831650126,C,2023-08-18,2033-08-15,2026-04-20 20:49:12.754367
110,Jose Alves,314.313.541-56,538676650,C,2012-06-27,2022-06-25,2026-04-20 20:49:12.754367
111,Carlos Lima,419.386.690-45,412872349,B,2012-11-24,2022-11-22,2026-04-20 20:49:12.754367
112,Beatriz Santos,940.677.428-27,232907782,AE,2023-01-31,2033-01-28,2026-04-20 20:49:12.754367
113,Carlos Oliveira,236.811.301-78,306219805,AC,2012-04-20,2022-04-18,2026-04-20 20:49:12.754367
114,Ricardo Souza,633.384.533-73,505616034,AC,2019-10-02,2029-09-29,2026-04-20 20:49:12.754367
115,Paulo Souza,778.904.373-40,665604337,AB,2013-01-09,2023-01-07,2026-04-20 20:49:12.754882
116,Adriana Rodrigues,687.487.975-22,854673032,AE,2019-07-04,2029-07-01,2026-04-20 20:49:12.754882
117,Jose Pereira,929.308.979-93,513902237,E,2018-02-26,2028-02-24,2026-04-20 20:49:12.754882
118,Ricardo Silva,956.831.472-60,389957691,AE,2019-01-30,2029-01-27,2026-04-20 20:49:12.754882
119,Jose Souza,880.240.846-51,500574522,E,2021-11-09,2031-11-07,2026-04-20 20:49:12.754882
120,Beatriz Lima,584.219.748-68,312317485,AD,2021-02-07,2031-02-05,2026-04-20 20:49:12.754882
121,Ana Ferreira,327.733.416-65,640115868,AE,2023-04-27,2033-04-24,2026-04-20 20:49:12.754882
122,Paulo Gomes,330.383.589-81,426084434,AE,2013-08-13,2023-08-11,2026-04-20 20:49:12.754882
123,Carlos Santos,136.771.575-64,403445316,C,2019-10-05,2029-10-02,2026-04-20 20:49:12.754882
124,Ricardo Lima,758.914.651-62,952230119,C,2010-06-29,2020-06-26,2026-04-20 20:49:12.754882
125,Paulo Alves,641.218.593-55,524432662,B,2013-09-22,2023-09-20,2026-04-20 20:49:12.754882
126,Fernanda Pereira,593.718.174-50,325314794,AD,2020-12-02,2030-11-30,2026-04-20 20:49:12.754882
127,Beatriz Oliveira,315.412.856-10,153937689,D,2017-09-30,2027-09-28,2026-04-20 20:49:12.754882
128,Joao Alves,628.836.873-61,850134527,E,2019-03-15,2029-03-12,2026-04-20 20:49:12.754882
129,Paulo Gomes,189.769.608-91,548244556,AB,2022-10-11,2032-10-08,2026-04-20 20:49:12.754882
130,Joao Santos,584.544.950-21,740675959,AC,2021-11-11,2031-11-09,2026-04-20 20:49:12.754882
131,Ana Santos,848.577.343-12,297081761,D,2010-04-01,2020-03-29,2026-04-20 20:49:12.754882
132,Adriana Oliveira,711.379.910-58,644722080,C,2012-03-05,2022-03-03,2026-04-20 20:49:12.754882
133,Ricardo Souza,355.503.113-65,516789683,AE,2017-07-05,2027-07-03,2026-04-20 20:49:12.754882
134,Maria Oliveira,187.738.976-80,298173581,E,2013-07-14,2023-07-12,2026-04-20 20:49:12.754882
135,Beatriz Souza,258.538.113-18,253962151,D,2023-03-27,2033-03-24,2026-04-20 20:49:12.754882
136,Maria Pereira,913.890.892-12,847334980,C,2011-09-28,2021-09-25,2026-04-20 20:49:12.754882
137,Maria Alves,181.222.525-55,553974623,A,2010-09-17,2020-09-14,2026-04-20 20:49:12.754882
138,Fernanda Souza,142.436.372-12,288605515,D,2017-04-19,2027-04-17,2026-04-20 20:49:12.754882
139,Ricardo Ferreira,911.987.236-41,805744081,AD,2023-04-14,2033-04-11,2026-04-20 20:49:12.754882
140,Ana Ferreira,178.608.283-89,109494308,A,2010-11-29,2020-11-26,2026-04-20 20:49:12.754882
141,Fernanda Ferreira,502.612.674-91,872763620,B,2015-11-04,2025-11-01,2026-04-20 20:49:12.754882
142,Beatriz Rodrigues,646.722.306-95,615031555,D,2020-09-13,2030-09-11,2026-04-20 20:49:12.754882
143,Ana Oliveira,441.436.222-42,421827013,B,2019-01-10,2029-01-07,2026-04-20 20:49:12.754882
144,Ana Pereira,468.586.910-66,173210136,C,2018-02-19,2028-02-17,2026-04-20 20:49:12.754882
145,Jose Souza,974.260.948-12,949186949,E,2016-01-10,2026-01-07,2026-04-20 20:49:12.754882
146,Paulo Santos,652.931.163-78,650177810,D,2023-08-12,2033-08-09,2026-04-20 20:49:12.754882
147,Joao Souza,511.314.802-77,158613466,AC,2023-07-01,2033-06-28,2026-04-20 20:49:12.754882
148,Beatriz Souza,714.938.535-56,924050424,AC,2018-04-30,2028-04-27,2026-04-20 20:49:12.754882
149,Paulo Rodrigues,854.729.927-23,924355249,B,2015-12-17,2025-12-14,2026-04-20 20:49:12.754882
150,Joao Lima,152.100.447-40,454806171,A,2012-07-18,2022-07-16,2026-04-20 20:49:12.754882
151,Ricardo Gomes,959.887.854-39,376430873,AD,2022-08-21,2032-08-18,2026-04-20 20:49:12.754882
152,Paulo Pereira,999.421.722-85,675919657,E,2016-03-08,2026-03-06,2026-04-20 20:49:12.754882
153,Jose Silva,469.302.907-51,579315111,AB,2020-07-28,2030-07-26,2026-04-20 20:49:12.754882
154,Joao Pereira,688.468.636-23,309287009,A,2016-07-01,2026-06-29,2026-04-20 20:49:12.754882
155,Ricardo Silva,159.502.742-67,802713553,AD,2014-01-17,2024-01-15,2026-04-20 20:49:12.754882
156,Joao Gomes,741.779.973-89,798749443,AE,2020-04-16,2030-04-14,2026-04-20 20:49:12.754882
157,Jose Rodrigues,522.822.138-51,798278889,E,2019-07-13,2029-07-10,2026-04-20 20:49:12.754882
158,Beatriz Ferreira,713.428.368-39,127995725,B,2020-08-04,2030-08-02,2026-04-20 20:49:12.754882
159,Ricardo Ferreira,522.612.616-80,450239731,D,2015-11-11,2025-11-08,2026-04-20 20:49:12.754882
160,Paulo Souza,888.765.819-43,981824409,AB,2018-11-14,2028-11-11,2026-04-20 20:49:12.754882
161,Ricardo Lima,749.419.292-54,636595310,B,2021-01-10,2031-01-08,2026-04-20 20:49:12.754882
162,Paulo Alves,777.854.132-90,843899309,A,2011-11-21,2021-11-18,2026-04-20 20:49:12.754882
163,Adriana Silva,967.837.425-83,918619851,E,2012-07-18,2022-07-16,2026-04-20 20:49:12.754882
164,Ricardo Pereira,706.161.304-65,959545676,AC,2011-05-19,2021-05-16,2026-04-20 20:49:12.754882
165,Fernanda Alves,528.839.710-81,823722379,D,2022-05-18,2032-05-15,2026-04-20 20:49:12.754882
166,Fernanda Lima,631.360.869-30,384213807,AB,2023-07-26,2033-07-23,2026-04-20 20:49:12.754882
167,Ana Gomes,927.949.801-91,126121330,C,2020-11-11,2030-11-09,2026-04-20 20:49:12.754882
168,Jose Alves,382.108.895-31,953987563,E,2022-08-26,2032-08-23,2026-04-20 20:49:12.754882
169,Maria Oliveira,134.698.897-36,389504745,A,2018-01-31,2028-01-29,2026-04-20 20:49:12.754882
170,Carlos Silva,873.405.920-93,235586775,C,2014-09-26,2024-09-23,2026-04-20 20:49:12.754882
171,Joao Rodrigues,839.568.996-19,350696874,AC,2013-05-20,2023-05-18,2026-04-20 20:49:12.754882
172,Beatriz Ferreira,795.555.306-53,359855608,A,2014-12-25,2024-12-22,2026-04-20 20:49:12.754882
173,Beatriz Lima,220.343.813-78,132907843,AD,2014-10-15,2024-10-12,2026-04-20 20:49:12.754882
174,Carlos Gomes,442.142.347-77,933830634,AC,2011-05-22,2021-05-19,2026-04-20 20:49:12.754882
175,Paulo Santos,985.986.389-60,540408302,D,2023-03-05,2033-03-02,2026-04-20 20:49:12.754882
176,Beatriz Silva,369.345.783-36,981556840,E,2010-01-21,2020-01-19,2026-04-20 20:49:12.754882
177,Carlos Lima,698.996.467-50,644887338,AC,2021-04-14,2031-04-12,2026-04-20 20:49:12.754882
178,Joao Pereira,129.134.912-47,545647246,AD,2015-01-19,2025-01-16,2026-04-20 20:49:12.754882
179,Paulo Ferreira,438.956.114-94,779405279,AB,2015-11-28,2025-11-25,2026-04-20 20:49:12.754882
180,Beatriz Lima,415.754.836-40,673311313,D,2017-02-26,2027-02-24,2026-04-20 20:49:12.754882
181,Jose Rodrigues,745.957.699-32,992401807,AE,2016-05-09,2026-05-07,2026-04-20 20:49:12.754882
182,Beatriz Souza,206.668.635-82,715760341,B,2010-11-06,2020-11-03,2026-04-20 20:49:12.754882
183,Fernanda Santos,811.410.724-12,739425050,E,2023-04-07,2033-04-04,2026-04-20 20:49:12.754882
184,Joao Gomes,301.759.586-22,344392861,A,2010-04-02,2020-03-30,2026-04-20 20:49:12.754882
185,Joao Rodrigues,814.849.159-39,994619783,C,2020-09-30,2030-09-28,2026-04-20 20:49:12.754882
186,Paulo Lima,571.225.390-98,198953786,C,2019-02-20,2029-02-17,2026-04-20 20:49:12.754882
187,Ricardo Santos,651.636.833-62,920560880,E,2011-04-11,2021-04-08,2026-04-20 20:49:12.754882
188,Jose Souza,633.936.331-94,327306410,A,2016-09-10,2026-09-08,2026-04-20 20:49:12.754882
189,Adriana Gomes,830.724.196-38,866093921,AD,2012-03-01,2022-02-27,2026-04-20 20:49:12.754882
190,Carlos Lima,521.715.801-24,944482554,B,2022-07-04,2032-07-01,2026-04-20 20:49:12.754882
191,Adriana Souza,517.660.244-44,393576034,AC,2011-09-11,2021-09-08,2026-04-20 20:49:12.754882
192,Beatriz Pereira,823.240.854-50,938131287,AC,2011-09-01,2021-08-29,2026-04-20 20:49:12.754882
193,Ricardo Rodrigues,122.740.315-74,745510370,AD,2010-02-27,2020-02-25,2026-04-20 20:49:12.754882
194,Jose Santos,599.768.979-41,272518949,AB,2013-11-27,2023-11-25,2026-04-20 20:49:12.754882
195,Ricardo Santos,739.223.337-58,286383094,AE,2019-12-01,2029-11-28,2026-04-20 20:49:12.754882
196,Ricardo Souza,600.275.460-99,510677195,D,2014-04-12,2024-04-09,2026-04-20 20:49:12.754882
197,Beatriz Rodrigues,502.187.941-94,421479193,B,2021-01-28,2031-01-26,2026-04-20 20:49:12.754882
198,Ricardo Lima,848.208.394-65,574737631,C,2018-04-06,2028-04-03,2026-04-20 20:49:12.754882
199,Joao Alves,231.899.361-21,543502401,C,2021-11-23,2031-11-21,2026-04-20 20:49:12.754882
200,Carlos Ferreira,684.729.547-60,538726992,A,2015-06-29,2025-06-26,2026-04-20 20:49:12.755403
201,Jose Alves,718.252.562-31,880734143,C,2011-02-08,2021-02-05,2026-04-20 20:49:12.755403
202,Ana Rodrigues,637.678.676-80,427352138,A,2011-09-11,2021-09-08,2026-04-20 20:49:12.755403
203,Ana Lima,628.967.940-37,140455209,AD,2011-11-24,2021-11-21,2026-04-20 20:49:12.755403
204,Beatriz Gomes,815.278.858-64,360882152,A,2017-11-28,2027-11-26,2026-04-20 20:49:12.755403
205,Maria Souza,741.640.915-46,312097494,B,2019-01-23,2029-01-20,2026-04-20 20:49:12.755403
206,Beatriz Gomes,563.628.472-79,983072633,AC,2014-07-19,2024-07-16,2026-04-20 20:49:12.755403
207,Joao Alves,294.795.765-49,599843008,B,2014-01-09,2024-01-07,2026-04-20 20:49:12.755403
208,Carlos Santos,791.386.558-65,805237546,C,2017-12-03,2027-12-01,2026-04-20 20:49:12.755403
209,Carlos Rodrigues,425.683.703-28,388292122,AD,2012-05-30,2022-05-28,2026-04-20 20:49:12.755403
210,Maria Gomes,286.566.105-90,103633775,A,2010-05-28,2020-05-25,2026-04-20 20:49:12.755403
211,Ricardo Pereira,382.107.714-58,135134832,B,2021-04-12,2031-04-10,2026-04-20 20:49:12.755403
212,Adriana Silva,336.613.438-32,588837746,C,2020-10-31,2030-10-29,2026-04-20 20:49:12.755403
213,Adriana Souza,833.871.673-52,848635504,AC,2022-09-04,2032-09-01,2026-04-20 20:49:12.755403
214,Maria Silva,594.724.198-88,360078150,E,2018-07-04,2028-07-01,2026-04-20 20:49:12.755403
215,Paulo Pereira,458.305.808-82,297210480,AB,2012-08-19,2022-08-17,2026-04-20 20:49:12.755403
216,Joao Souza,921.423.267-83,541969443,AB,2022-03-23,2032-03-20,2026-04-20 20:49:12.755403
217,Jose Oliveira,966.347.975-63,765898556,E,2011-04-15,2021-04-12,2026-04-20 20:49:12.755403
218,Adriana Silva,373.120.319-29,848326194,C,2021-10-04,2031-10-02,2026-04-20 20:49:12.755403
219,Ricardo Santos,584.445.956-19,519401262,AD,2014-10-03,2024-09-30,2026-04-20 20:49:12.755403
220,Ana Rodrigues,511.858.155-84,886980400,A,2011-12-21,2021-12-18,2026-04-20 20:49:12.755403
221,Paulo Gomes,920.551.641-23,230577405,D,2018-01-07,2028-01-05,2026-04-20 20:49:12.755403
222,Fernanda Alves,253.671.383-82,597073954,B,2012-07-20,2022-07-18,2026-04-20 20:49:12.755403
223,Jose Silva,567.200.444-30,653640966,AD,2016-06-05,2026-06-03,2026-04-20 20:49:12.755403
224,Maria Ferreira,394.556.702-79,254568903,D,2018-03-06,2028-03-03,2026-04-20 20:49:12.755403
225,Ana Pereira,360.512.733-33,664555270,C,2022-07-20,2032-07-17,2026-04-20 20:49:12.755403
226,Joao Silva,324.845.198-77,176584406,AD,2011-11-13,2021-11-10,2026-04-20 20:49:12.755403
227,Carlos Pereira,573.578.552-11,657906587,AE,2018-04-14,2028-04-11,2026-04-20 20:49:12.755403
228,Joao Santos,783.829.573-24,310879509,B,2021-11-02,2031-10-31,2026-04-20 20:49:12.755403
229,Paulo Silva,946.483.374-62,212947786,AC,2010-06-29,2020-06-26,2026-04-20 20:49:12.755403
230,Beatriz Oliveira,571.520.689-58,175589377,D,2017-01-07,2027-01-05,2026-04-20 20:49:12.755403
231,Paulo Oliveira,525.575.494-72,715644836,B,2014-02-26,2024-02-24,2026-04-20 20:49:12.755403
232,Fernanda Rodrigues,851.888.901-86,472294647,AC,2013-11-22,2023-11-20,2026-04-20 20:49:12.755403
233,Fernanda Rodrigues,531.775.397-51,378588002,E,2023-02-24,2033-02-21,2026-04-20 20:49:12.755403
234,Jose Rodrigues,195.409.594-78,481874766,AC,2023-01-11,2033-01-08,2026-04-20 20:49:12.755403
235,Ricardo Ferreira,736.816.793-42,961161987,C,2021-07-26,2031-07-24,2026-04-20 20:49:12.755403
236,Fernanda Santos,971.992.426-39,991057004,D,2021-01-04,2031-01-02,2026-04-20 20:49:12.755403
237,Carlos Alves,837.528.304-51,469390081,E,2018-03-15,2028-03-12,2026-04-20 20:49:12.755403
238,Ana Rodrigues,658.222.184-45,357152088,B,2021-04-25,2031-04-23,2026-04-20 20:49:12.755403
239,Maria Gomes,985.449.311-34,986865879,E,2021-01-10,2031-01-08,2026-04-20 20:49:12.755403
240,Ricardo Lima,972.742.758-13,616443434,AC,2020-04-12,2030-04-10,2026-04-20 20:49:12.755403
241,Carlos Souza,793.684.269-99,650831341,AE,2014-08-24,2024-08-21,2026-04-20 20:49:12.755403
242,Carlos Gomes,512.235.906-28,978077989,AE,2018-02-13,2028-02-11,2026-04-20 20:49:12.755403
243,Beatriz Santos,593.498.175-59,727325380,A,2020-08-05,2030-08-03,2026-04-20 20:49:12.755403
244,Jose Ferreira,881.358.998-40,125022484,AD,2010-01-20,2020-01-18,2026-04-20 20:49:12.755403
245,Beatriz Oliveira,904.673.570-11,878216353,AE,2023-03-22,2033-03-19,2026-04-20 20:49:12.755403
246,Maria Ferreira,563.508.312-48,149334827,AC,2016-10-06,2026-10-04,2026-04-20 20:49:12.755403
247,Ana Lima,779.535.136-21,304131957,AE,2017-08-14,2027-08-12,2026-04-20 20:49:12.755403
248,Paulo Silva,404.886.311-71,658691144,D,2010-08-12,2020-08-09,2026-04-20 20:49:12.755403
249,Carlos Santos,329.855.818-86,165972520,AC,2018-04-19,2028-04-16,2026-04-20 20:49:12.755403
250,Ricardo Gomes,607.248.146-82,869248459,AD,2010-09-22,2020-09-19,2026-04-20 20:49:12.755403
251,Beatriz Gomes,601.769.144-12,797584547,AC,2021-02-10,2031-02-08,2026-04-20 20:49:12.755403
